Lon,Lat,Name,Mode,Id
10.71233,59.93176,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71209,59.93191,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71187,59.93205,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71171,59.93215,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71157,59.93223,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71134,59.93234,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71121,59.93241,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71101,59.9325,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71076,59.93262,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71061,59.93268,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71045,59.93275,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71032,59.93281,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71018,59.93288,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71005,59.93295,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70992,59.93302,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70982,59.93308,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70974,59.93313,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70966,59.93319,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70957,59.93327,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7095,59.93333,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70944,59.93339,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70939,59.93345,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70934,59.93351,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70929,59.93359,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70925,59.93367,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70923,59.93374,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7092,59.93381,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70919,59.93389,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70917,59.93397,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70916,59.93406,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70915,59.93423,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70915,59.93437,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70915,59.9345,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70916,59.93463,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70917,59.93479,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70918,59.93493,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7092,59.93506,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70923,59.93518,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70925,59.93529,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70928,59.93542,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70932,59.93555,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70936,59.93566,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70941,59.93577,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70946,59.93587,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70952,59.93596,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70958,59.93606,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70966,59.93617,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70973,59.93625,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70981,59.93635,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.70992,59.93646,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71032,59.93685,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7104,59.93693,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71047,59.937,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71055,59.93705,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7106,59.9371,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71067,59.93715,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71074,59.93719,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71083,59.93724,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71091,59.93729,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71098,59.93733,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71109,59.93738,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71119,59.93742,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71132,59.93747,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71148,59.93753,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71163,59.93759,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71185,59.93766,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71242,59.93786,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7126,59.93792,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71275,59.93798,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71288,59.93803,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71301,59.93808,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71315,59.93814,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71327,59.93819,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71338,59.93825,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71349,59.93831,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7136,59.93838,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71372,59.93845,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71382,59.93852,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71391,59.93858,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.714,59.93864,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71414,59.93874,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71451,59.939,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71491,59.93928,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71538,59.93961,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71608,59.94011,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71615,59.94016,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71619,59.94018,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71678,59.9406,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71687,59.94067,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71697,59.94075,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71705,59.94082,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71717,59.94092,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71727,59.94101,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71736,59.9411,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71744,59.94119,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71753,59.9413,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71761,59.9414,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71768,59.94149,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71777,59.94162,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71795,59.94188,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71802,59.94196,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71809,59.94206,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71821,59.94218,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71831,59.94229,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7184,59.94237,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71851,59.94246,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71861,59.94255,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7187,59.94262,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7188,59.94268,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71891,59.94276,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71906,59.94286,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71921,59.94295,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71936,59.94304,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71951,59.94312,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71966,59.94319,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.71977,59.94325,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7199,59.9433,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72006,59.94337,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7202,59.94343,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72035,59.94349,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72049,59.94354,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72066,59.9436,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72089,59.94369,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7209,59.94369,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72091,59.94369,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72105,59.94374,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72106,59.94374,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72125,59.94381,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72142,59.94386,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72159,59.94391,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72175,59.94395,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72192,59.944,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72207,59.94404,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72225,59.94408,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72241,59.94411,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72257,59.94414,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72278,59.94418,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72297,59.94421,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72317,59.94423,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72342,59.94426,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72472,59.94443,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72491,59.94446,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7251,59.94448,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72527,59.94451,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72546,59.94453,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72564,59.94456,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72587,59.9446,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72614,59.94465,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72635,59.94469,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7266,59.94475,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72681,59.94479,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72702,59.94484,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72725,59.9449,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72747,59.94496,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72768,59.94502,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72786,59.94507,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72801,59.94512,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72819,59.94518,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72839,59.94525,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.72866,59.94534,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7289,59.94543,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73035,59.94596,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73058,59.94604,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73077,59.94612,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73093,59.94618,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.7311,59.94625,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73128,59.94633,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73144,59.94641,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73159,59.94648,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73173,59.94655,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73192,59.94665,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73215,59.94677,Vestli - Bergkrystallen,metro,1-2-RUT:Line:4
10.73219,59.94675,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73219,59.94675,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73219,59.94675,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73266,59.94699,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73266,59.94699,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73296,59.94714,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73296,59.94714,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73307,59.94719,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73307,59.94719,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73311,59.94721,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73314,59.9472,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73314,59.9472,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.733,59.94712,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73295,59.9471,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73295,59.9471,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73293,59.9471,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73292,59.9471,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73292,59.9471,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.7329,59.94711,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73289,59.94712,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73288,59.94726,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73288,59.94726,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73286,59.94726,Ullevål stadion - Ullevål stadion T,foot,1-3-0
10.73278,59.94725,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73276,59.94734,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73273,59.94745,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73275,59.94753,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73276,59.94758,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73277,59.9477,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73277,59.94777,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73278,59.94777,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73282,59.94779,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73285,59.94781,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73287,59.94784,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73288,59.94786,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73287,59.94789,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73287,59.9479,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73284,59.94793,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.7328,59.94795,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73275,59.94797,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73273,59.94797,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73271,59.94797,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73267,59.94804,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73262,59.94811,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73259,59.94816,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73249,59.94828,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73239,59.9484,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73229,59.94853,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73211,59.94866,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.7319,59.94888,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73178,59.94901,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73162,59.94914,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
10.73136,59.94936,Majorstuen - Lørenskog stasjon,bus,1-4-RUT:Line:25
